,temp,location,clouds,pressure,rain,time_stamp,humidity,wind,date
0,42.42,Back Bay,1,1012.14,0.1228,1545003901,0.77,11.25,12/16/2018 23:45
1,42.43,Beacon Hill,1,1012.15,0.1846,1545003901,0.76,11.32,12/16/2018 23:45
2,42.5,Boston University,1,1012.15,0.1089,1545003901,0.76,11.07,12/16/2018 23:45
3,42.11,Fenway,1,1012.13,0.0969,1545003901,0.77,11.09,12/16/2018 23:45
4,43.13,Financial District,1,1012.14,0.1786,1545003901,0.75,11.49,12/16/2018 23:45
5,42.34,Haymarket Square,1,1012.15,0.2068,1545003901,0.77,11.49,12/16/2018 23:45
6,42.36,North End,1,1012.15,0.2088,1545003901,0.77,11.46,12/16/2018 23:45
7,42.21,North Station,1,1012.16,0.2069,1545003901,0.77,11.37,12/16/2018 23:45
8,42.07,Northeastern University,1,1012.12,0.102,1545003901,0.78,11.28,12/16/2018 23:45
9,43.05,South Station,1,1012.12,0.1547,1545003901,0.75,11.58,12/16/2018 23:45
10,42.09,Theatre District,1,1012.13,0.1428,1545003901,0.78,11.41,12/16/2018 23:45
11,43.28,Back Bay,0.81,990.81,0,1543347920,0.71,8.3,11/27/2018 19:45
12,43.27,Beacon Hill,0.8,990.8,0,1543347920,0.71,8.3,11/27/2018 19:45
13,43.35,Boston University,0.82,990.82,0,1543347920,0.71,8.24,11/27/2018 19:45
14,43.07,Fenway,0.82,990.82,0,1543347920,0.72,8.28,11/27/2018 19:45
15,43.35,Financial District,0.8,990.8,0,1543347920,0.71,8.35,11/27/2018 19:45
16,43.2,Haymarket Square,0.8,990.79,0,1543347920,0.71,8.31,11/27/2018 19:45
17,43.24,North End,0.8,990.79,0,1543347920,0.71,8.32,11/27/2018 19:45
18,41.95,North Station,0.81,991.63,0,1543347920,0.73,10.87,11/27/2018 19:45
19,43.05,Northeastern University,0.81,990.82,0,1543347920,0.72,8.31,11/27/2018 19:45
20,43.31,South Station,0.8,990.8,0.0023,1543347920,0.71,8.36,11/27/2018 19:45
21,43.05,Theatre District,0.8,990.8,0,1543347920,0.72,8.34,11/27/2018 19:45
22,41.89,West End,0.81,991.64,0,1543347920,0.74,10.88,11/27/2018 19:45
23,43.92,North Station,1,1006.29,0.0409,1543277833,0.9,10.09,11/27/2018 0:17
24,43.87,Northeastern University,1,1006.24,0.0284,1543277833,0.91,9.74,11/27/2018 0:17
25,39.23,Back Bay,0.83,996.09,0,1543449727,0.66,10.67,11/29/2018 0:02
26,39.18,Beacon Hill,0.83,996.08,0,1543449727,0.67,10.69,11/29/2018 0:02
27,39.23,Boston University,0.83,996.11,0,1543449727,0.66,10.53,11/29/2018 0:02
28,39.1,Fenway,0.83,996.11,0,1543449727,0.67,10.59,11/29/2018 0:02
29,39.56,Financial District,0.83,996.07,0,1543449727,0.66,10.79,11/29/2018 0:02
